sequence	stool-2DSS__10	stool-2DSS__11	stool-2DSS__12	stool-2DSS__13	stool-2DSS__14	stool-2DSS__16	stool-2DSS__18	stool-2DSS__19	stool-2DSS__1	stool-2DSS__21	stool-2DSS__23	stool-2DSS__24	stool-2DSS__25	stool-2DSS__27	stool-2DSS__28	stool-2DSS__2	stool-2DSS__30	stool-2DSS__3	stool-2DSS__5	stool-2DSS__6	stool-2DSS__7	stool-2DSS__8	stool-2DSS__9	stool-3DSS__11	stool-3DSS__16	stool-3DSS__21	stool-3DSS__22	stool-3DSS__23	stool-3DSS__24	stool-3DSS__26	stool-3DSS__27	stool-3DSS__29	stool-3DSS__2	stool-3DSS__30	stool-3DSS__7	stool-4DSS__16	stool-4DSS__1	stool-4DSS__23	stool-4DSS__24	stool-4DSS__6
ASV1:p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Barnesiella;s__NA	7278	16	0	756	964	7499	2156	0	4291	0	7613	3320	0	0	0	7063	0	0	19	28	1146	0	46	0	0	0	0	0	0	0	3111	0	0	25	0	27	0	0	33	1844
ASV2:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium XlVa;s__NA	3669	0	0	0	0	0	0	0	0	0	5394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV3:p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Alloprevotella;s__NA	3437	0	0	829	315	15	3938	0	1116	0	1115	923	0	0	0	1138	0	0	0	13	969	0	11	0	0	0	0	0	0	0	4151	0	0	0	0	0	0	14	16	748
ASV4:p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__NA	1622	0	0	191	347	117	1174	401	278	0	607	937	0	0	0	917	0	8	0	15	866	125	275	0	0	0	0	0	0	0	927	0	0	34	0	8	0	27	11	842
ASV5:p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Barnesiella;s__NA	1517	110	0	461	1423	2073	1375	187	1888	31	6712	1401	0	113	0	1373	0	59	24	58	1233	302	209	0	0	0	0	0	0	0	493	0	0	663	0	547	0	327	346	2110
ASV6:p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__NA	1397	0	0	0	678	1179	652	26	469	0	0	0	0	0	0	1085	0	0	0	0	1829	0	49	0	0	0	0	0	0	0	428	0	0	195	0	20	0	0	0	279
ASV7:p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_taiwanensis(EU487512)	1100	0	0	114	488	1264	653	0	644	0	1128	872	0	0	0	34	0	0	0	17	988	0	16	0	0	0	0	0	0	0	372	0	0	72	0	0	0	0	39	556
ASV8:p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter;s__Helicobacter_ganmani(AF000221)	846	142	0	688	1514	310	1769	233	90	368	278	2065	0	30	0	413	0	178	25	48	288	136	381	0	0	0	0	0	0	0	363	0	0	1098	0	1269	0	1139	98	319
ASV9:p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Barnesiella;s__NA	836	0	0	70	164	708	281	0	321	0	494	139	0	0	0	434	0	0	0	0	178	0	15	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	304
ASV10:p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__NA	822	5174	0	129	162	1110	195	4198	458	5462	265	128	0	5399	0	189	0	11233	4943	4522	520	9736	6739	0	0	0	0	0	0	0	1647	0	0	9585	0	14549	0	6191	18687	321
ASV11:p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Barnesiella;s__NA	822	0	0	93	169	747	471	56	381	0	1083	394	0	0	0	563	0	14	0	0	714	0	28	0	0	0	0	0	0	0	124	0	0	21	0	0	0	0	0	93
ASV12:p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__NA	655	63	0	130	337	898	556	118	366	0	640	430	0	0	0	507	0	13	0	67	345	239	287	0	0	0	0	0	0	0	62	0	0	97	0	36	0	0	138	0
ASV13:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium XlVa;s__NA	616	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	603	0	0	0	0	0	0
ASV14:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__NA;s__NA	588	0	0	144	0	0	761	0	0	0	126	295	0	0	0	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0
ASV15:p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__NA	556	0	0	236	126	893	1280	246	208	0	374	1294	0	0	0	179	0	0	0	245	818	1328	315	0	0	0	0	0	0	0	134	0	0	73	0	44	0	41	23	408
ASV16:p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__NA	547	0	0	92	314	1018	649	0	197	0	644	336	0	0	0	642	0	0	0	24	869	0	0	0	0	0	0	0	0	0	546	0	0	0	0	0	0	0	0	355
ASV17:p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Odoribacter;s__NA	539	32	0	240	231	708	696	152	240	20	681	1790	0	0	0	166	0	0	0	37	571	20	660	0	0	0	0	0	0	0	222	0	0	204	0	133	0	25	23	661
ASV18:p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Barnesiella;s__NA	527	0	0	220	262	726	712	0	231	0	591	1136	0	0	0	322	0	0	0	0	547	19	0	0	0	0	0	0	0	0	390	0	0	22	0	0	0	0	30	287
ASV19:p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Barnesiella;s__NA	479	9	0	0	0	496	204	54	194	0	294	197	0	31	0	153	0	20	0	28	235	20	27	0	0	0	0	0	0	0	145	0	0	83	0	51	0	69	48	180
ASV20:p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__NA	464	335	0	134	170	532	618	0	245	153	463	701	0	168	0	428	0	0	917	1507	688	3640	424	0	0	0	0	0	0	0	334	0	0	248	0	346	0	405	859	231
ASV21:p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Barnesiella;s__NA	455	0	0	98	74	350	280	22	341	0	245	301	0	0	0	346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105
ASV22:p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Barnesiella;s__NA	415	0	0	88	213	421	465	0	386	0	543	321	0	0	0	212	0	0	0	0	330	0	0	0	0	0	0	0	0	0	127	0	0	129	0	0	0	0	0	178
ASV23:p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__NA;s__NA	395	12	0	92	90	389	325	141	200	0	126	116	0	0	0	124	0	0	0	20	29	113	113	0	0	0	0	0	0	0	310	0	0	9	0	27	0	70	11	93
ASV24:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium XlVa;s__NA	379	0	0	415	648	1098	1694	0	0	0	303	1016	0	0	0	0	0	51	0	23	842	253	359	0	0	0	0	0	0	0	600	0	0	611	0	201	0	0	0	285
